Date,Close
1/1/18,106.6
2/1/18,90.01
3/1/18,88.97
4/1/18,88.46
5/1/18,82.54
6/1/18,85.65
7/1/18,89.23
8/1/18,95.86
9/1/18,93.91
10/1/18,100.28
11/1/18,97.65
12/1/18,93.15
1/1/19,95.83
2/1/19,98.99
3/1/19,97.53
4/1/19,102.84
5/1/19,101.44
6/1/19,110.49
7/1/19,110.38
8/1/19,114.26
9/1/19,118.68
10/1/19,117.26
11/1/19,119.09
12/1/19,118.84
1/1/20,114.49
2/1/20,107.68
3/1/20,113.62
4/1/20,121.55
5/1/20,124.06
6/1/20,119.78
7/1/20,129.4
8/1/20,138.85
9/1/20,139.91
10/1/20,138.75
11/1/20,152.79
12/1/20,144.15
1/1/21,140.49
2/1/21,129.92
3/1/21,135.83
4/1/21,139.91
5/1/21,142.03
6/1/21,141.02
7/1/21,142.55
8/1/21,148.1
9/1/21,139.38
10/1/21,149.42
11/1/21,140.63
12/1/21,144.69
1/1/22,139.81
2/1/22,135.16
3/1/22,148.92
4/1/22,152.99
5/1/22,128.63
6/1/22,121.58
7/1/22,132.05
8/1/22,132.55
9/1/22,129.7
10/1/22,142.33
11/1/22,152.42
12/1/22,141.79
1/1/23,143.87
2/1/23,142.13
3/1/23,147.45
4/1/23,150.97
5/1/23,146.87
6/1/23,157.18
7/1/23,159.86
8/1/23,162.61
9/1/23,160.27
